Model,Pret,Ianuarie,Februarie,Martie,Aprilie,Mai,Iunie,Iulie,August,Septembrie,Octombrie,Noiembrie,Decembrie
Corolla,26000,1309,2171,9011,11660,13333,15398,16742,11224,13963,14716,13011,11059
Prius,22500,504,314,853,504,631,451,860,602,907,739,618,471
RAV4,24000,5657,6261,6932,7086,11874,9739,7521,8144,8726,7180,6927,5753
C-HR,20000,,,13764,10219,11058,9951,9692,7424,8947,8881,9157,7189
Yaris,14500,20033,15692,25650,17344,17711,19864,17123,12703,17803,17855,15134,14304
Aygo,11500,8504,6204,11957,7761,7310,9125,7795,5551,10902,7921,8434,8046
